Datetime,Open,High,Low,Close,Adj Close,Volume
2020-05-11 14:30:00-04:00,186.82400512695312,186.94000244140625,186.82000732421875,186.9156036376953,186.9156036376953,0
2020-05-11 14:31:00-04:00,186.9199981689453,186.9499969482422,186.8726043701172,186.93499755859375,186.93499755859375,29781
2020-05-11 14:32:00-04:00,186.92999267578125,186.99000549316406,186.91000366210938,186.94000244140625,186.94000244140625,27162
2020-05-11 14:33:00-04:00,186.9499969482422,187.02999877929688,186.94200134277344,187.0299072265625,187.0299072265625,38091
2020-05-11 14:34:00-04:00,187.02789306640625,187.07000732421875,187.00999450683594,187.0399932861328,187.0399932861328,36512
2020-05-11 14:35:00-04:00,187.03179931640625,187.0800018310547,186.99349975585938,187.0240020751953,187.0240020751953,44986
2020-05-11 14:36:00-04:00,187.0050048828125,187.10000610351562,186.97999572753906,187.08999633789062,187.08999633789062,32747
2020-05-11 14:37:00-04:00,187.10000610351562,187.25,187.09500122070312,187.14700317382812,187.14700317382812,99518
2020-05-11 14:38:00-04:00,187.14500427246094,187.16000366210938,187.08999633789062,187.1300048828125,187.1300048828125,22161
2020-05-11 14:39:00-04:00,187.1199951171875,187.1699981689453,187.10499572753906,187.1510009765625,187.1510009765625,51049
2020-05-11 14:40:00-04:00,187.14999389648438,187.1699981689453,187.00999450683594,187.0449981689453,187.0449981689453,45967
2020-05-11 14:41:00-04:00,187.0449981689453,187.0800018310547,187.0,187.02000427246094,187.02000427246094,35648
2020-05-11 14:42:00-04:00,187.01199340820312,187.1199951171875,187.01199340820312,187.10000610351562,187.10000610351562,31459
2020-05-11 14:43:00-04:00,187.0850067138672,187.1300048828125,187.02999877929688,187.10000610351562,187.10000610351562,37951
2020-05-11 14:44:00-04:00,187.10000610351562,187.11000061035156,186.97999572753906,186.99000549316406,186.99000549316406,33553
2020-05-11 14:45:00-04:00,187.0,187.0399932861328,186.9801025390625,187.00999450683594,187.00999450683594,30018
2020-05-11 14:46:00-04:00,187.0,187.02000427246094,186.92999267578125,186.97999572753906,186.97999572753906,38923
2020-05-11 14:47:00-04:00,186.98989868164062,187.0800018310547,186.98989868164062,187.01499938964844,187.01499938964844,38386
